GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpAchatProject,com.esprit.examen.services,ReglementServiceImpl,35,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,SecteurActiviteServiceImpl,34,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,FactureServiceImpl,208,7,4,0,41,2,10,2,8,2
tpAchatProject,com.esprit.examen.services,FournisseurServiceImpl,112,7,2,0,26,2,8,2,7,2
tpAchatProject,com.esprit.examen.services,CategorieProduitServiceImpl,33,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,OperateurServiceImpl,34,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,ProduitServiceImpl,90,7,2,0,18,2,7,2,6,2
tpAchatProject,com.esprit.examen.services,StockServiceImpl,74,100,2,2,12,23,2,8,1,7
tpAchatProject,com.esprit.examen.controllers,StockRestController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,SecteurActiviteController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,OperateurController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,FournisseurRestController,34,3,0,0,10,1,6,1,6,1
tpAchatProject,com.esprit.examen.controllers,FactureRestController,43,3,0,0,13,1,7,1,7,1
tpAchatProject,com.esprit.examen.controllers,ProduitRestController,34,3,0,0,10,1,6,1,6,1
tpAchatProject,com.esprit.examen.controllers,CategorieProduitController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,ReglementRestController,32,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen,TpAchatProjectApplication,5,3,0,0,2,1,1,1,1,1
tpAchatProject,com.esprit.examen,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
tpAchatProject,com.esprit.examen.entities,Fournisseur,73,3,0,0,9,1,15,1,15,1
tpAchatProject,com.esprit.examen.entities,Reglement,63,3,0,0,8,1,13,1,13,1
tpAchatProject,com.esprit.examen.entities,Facture,93,3,0,0,11,1,19,1,19,1
tpAchatProject,com.esprit.examen.entities,Stock,37,35,0,0,8,6,8,6,8,6
tpAchatProject,com.esprit.examen.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
tpAchatProject,com.esprit.examen.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
tpAchatProject,com.esprit.examen.entities,Produit,93,3,0,0,11,1,19,1,19,1
tpAchatProject,com.esprit.examen.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
tpAchatProject,com.esprit.examen.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
tpAchatProject,com.esprit.examen.entities,Operateur,53,3,0,0,7,1,11,1,11,1
tpAchatProject,com.esprit.examen.entities,Stock.StockBuilder,47,27,0,0,0,1,4,4,4,4
tpAchatProject,com.esprit.examen.entities,SecteurActivite,43,3,0,0,6,1,9,1,9,1
